Id,Predicted
0,surprise
1,neutral
2,non-neutral
3,neutral
4,non-neutral
5,sadness
6,non-neutral
7,non-neutral
8,neutral
9,non-neutral
10,surprise
11,fear
12,non-neutral
13,neutral
14,neutral
15,surprise
16,sadness
17,surprise
18,non-neutral
19,non-neutral
20,non-neutral
21,joy
22,surprise
23,joy
24,joy
25,fear
26,disgust
27,joy
28,anger
29,joy
30,surprise
31,neutral
32,non-neutral
33,joy
34,neutral
35,neutral
36,neutral
37,neutral
38,disgust
39,neutral
40,neutral
41,non-neutral
42,disgust
43,neutral
44,neutral
45,surprise
46,disgust
47,joy
48,neutral
49,surprise
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,surprise
57,neutral
58,non-neutral
59,sadness
60,joy
61,neutral
62,anger
63,neutral
64,neutral
65,fear
66,neutral
67,neutral
68,non-neutral
69,joy
70,non-neutral
71,neutral
72,neutral
73,joy
74,joy
75,anger
76,neutral
77,neutral
78,non-neutral
79,joy
80,non-neutral
81,surprise
82,joy
83,joy
84,neutral
85,joy
86,joy
87,neutral
88,neutral
89,neutral
90,non-neutral
91,joy
92,neutral
93,neutral
94,fear
95,sadness
96,neutral
97,neutral
98,neutral
99,neutral
100,neutral
101,neutral
102,joy
103,disgust
104,joy
105,neutral
106,non-neutral
107,non-neutral
108,neutral
109,neutral
110,neutral
111,joy
112,anger
113,non-neutral
114,non-neutral
115,neutral
116,surprise
117,non-neutral
118,joy
119,joy
120,non-neutral
121,neutral
122,neutral
123,neutral
124,joy
125,neutral
126,neutral
127,neutral
128,neutral
129,neutral
130,neutral
131,neutral
132,anger
133,joy
134,joy
135,neutral
136,neutral
137,neutral
138,non-neutral
139,neutral
140,neutral
141,neutral
142,joy
143,non-neutral
144,neutral
145,non-neutral
146,surprise
147,neutral
148,surprise
149,surprise
150,neutral
151,non-neutral
152,anger
153,neutral
154,surprise
155,neutral
156,neutral
157,surprise
158,neutral
159,neutral
160,neutral
161,surprise
162,neutral
163,joy
164,surprise
165,non-neutral
166,non-neutral
167,anger
168,neutral
169,non-neutral
170,neutral
171,non-neutral
172,neutral
173,anger
174,neutral
175,non-neutral
176,neutral
177,non-neutral
178,neutral
179,anger
180,neutral
181,non-neutral
182,non-neutral
183,neutral
184,neutral
185,non-neutral
186,neutral
187,surprise
188,fear
189,surprise
190,non-neutral
191,joy
192,neutral
193,neutral
194,joy
195,neutral
196,neutral
197,fear
198,neutral
199,joy
200,joy
201,joy
202,joy
203,neutral
204,non-neutral
205,joy
206,neutral
207,non-neutral
208,anger
209,neutral
210,surprise
211,joy
212,non-neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,non-neutral
220,non-neutral
221,joy
222,joy
223,neutral
224,neutral
225,non-neutral
226,sadness
227,neutral
228,neutral
229,neutral
230,non-neutral
231,non-neutral
232,neutral
233,joy
234,neutral
235,non-neutral
236,neutral
237,non-neutral
238,non-neutral
239,joy
240,neutral
241,surprise
242,sadness
243,neutral
244,fear
245,neutral
246,sadness
247,neutral
248,sadness
249,surprise
250,neutral
251,joy
252,joy
253,surprise
254,surprise
255,disgust
256,neutral
