Sentences,Label
"No, I don&#39;t ask you!",fear
I ever have.,joy
Chris says they&#39;re closing the bar.,sadness
Got me.,sadness
You can bet on it!,joy
"Oh totally. Oh god, oh she seemed so happy too.",sadness
"Well, the woman I spoke to was pretty tough, but thank god Mark trained me because when I started talking about the fall line she all got happy and wouldn&#39;t shut up.",joy
I&#39;m so proud of you.,joy
Me too!,joy
"Good job joe! Well done! First class, top notch!",joy
"Oh-ho-ho, yes!",joy
You fell asleep!!,anger
There was no kangaroo!,anger
Do not go!,sadness
I&#39;m so sorry.,sadness
I am sorry!,sadness
Be mad at him!,anger
Great! Okay here.,joy
Many Thanks. Many Thanks. Many Thanks! And,joy
Can you wait a moment I have another call. I love her.,joy
Okay. Okay. Having a phone finally paid off.,joy
Oh dear God. You are purely angry.,disgust
Nobody!,anger
Nobody respects the bucket!,anger
Appearance!,anger
"Okay, does this look like a garbage can to you?",anger
Let&#39;s go Phoebe! Let&#39;s go Phobo! Puhbedo! Phaybobo.,joy
"Ok, let&#39;s go! Bye, Pheebs!",joy
"Bye, Pheebs!",joy
London Baby !!,joy
Oh do you need a hug You don&#39;t have to bring me anything!,joy
Hi there! So Estelle has some auditions prepared for me tomorrow and I&#39;ll have my health insurance back in no time.,joy
"Well, I had that blinding pain in my stomach lifting weights before, then passed out and haven&#39;t been able to get up since.",fear
"Under no circumstance! “Kay, look, if I have to go to the doctor about something, that&#39;s what&#39;s sticking out of my stomach!",fear
Why did I have to start exercising again? Damn 15s!,anger
I love your place! Where is this guy from?,joy
Go out!,anger
"Uh, well ... Joey and I broke up.",sadness
"Joey is a great guy, but we&#39;re just ... so different! I mean, he kept laughing at Homo Erectus during your speech!",sadness
"Anyway, I think it&#39;s for the best.",sadness
I guess.,sadness
Ok gentlemen!,anger
You&#39;re welcome!,anger
Aren&#39;t we a little old for that?,anger
And especially me ... you ... you have to catch us first.,joy
GO! GO! GO!,joy
Go Go Go,joy
"Oh yes, now everyone wants to be under this hat!",joy
"Okay, do you see that blind man right there? I&#39;ll smash his head later.",anger
"Oh um, my big scene is coming up. Big scene comes up.",joy
"Oh man, I just can&#39;t watch. It&#39;s too scary!",fear
"Oh yeah well you know me, babies, responsibilities, ahhh !!!",fear
Pizza delivery service!,joy
I will get it! I will get this!,joy
Hi there!,joy
Hi there!,joy
"Hey Ross, wouldn&#39;t it be great if we could drive two hours in a row without dropping it ?!",joy
Okay!,joy
"Oh, oh.",fear
"I know! Don&#39;t switch hands, okay?",fear
Oh amazing! We had the best time!,joy
